Project,,(p) Wolftrack 3.0,,
Links,https://github.com/nehajaideep/WolfTrack3.0,,,
,Yes/ No,Score,Comments/Evidence,Notes
,,,,
Total Score:,,177,,
,,,,
Video,Yes,3,https://github.com/nehajaideep/WolfTrack3.0,
Workload is spread over the whole team ,Yes,2,https://github.com/nehajaideep/WolfTrack3.0/graphs/contributors?from=2021-09-22&to=2021-10-10&type=c,All phases have a single person carrying the team.
Number of commits,Yes,3,323 Commits,331 Total commits
Number of commits: by different people,Yes,3,balanced commits: 30 30 30 29,varied number of commits
Issues reports,yes,2,Yes,Total 40 issues
Issues are being closed,yes,3,22,26 issues closed
DOI badge,yes,2,https://zenodo.org/record/5736533,
"Docs: doco generated, format not ugly",Yes,2,https://github.com/nehajaideep/WolfTrack3.0,
Docs: what: point descriptions of each class/function (in isolation),yes,3,https://github.com/nehajaideep/WolfTrack3.0,No Documentation in code
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",yes,3,https://github.com/nehajaideep/WolfTrack3.0,
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",yes,2,https://github.com/nehajaideep/WolfTrack3.0,
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",yes,3,https://github.com/nehajaideep/WolfTrack3.0,Just Screenshots no Gifs
Use of version control tools,yes,2,https://github.com/nehajaideep/WolfTrack3.0,Git
Use of style checkers,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/actions/workflows/coverage.yml,pylint 
Use of code formatters.,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/actions/workflows/coverage.yml,pylint 
Use of syntax checkers.,no,0,https://github.com/nehajaideep/WolfTrack3.0/actions/workflows/coverage.yml,
Use of code coverage,Yes,2,https://github.com/nehajaideep/WolfTrack3.0/actions/workflows/coverage.yml,Codecov
Other automated analysis tools,no,0,https://github.com/nehajaideep/WolfTrack3.0/actions/workflows/coverage.yml,
Test cases exist,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/UnitTesting/home_testing.py,
Test cases are routinely executed,yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/UnitTesting/home_testing.py,
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/CONTRIBUTING.md,It's a bit less descriptive
Issues are discussed before they are closed,Yes,1,https://github.com/nehajaideep/WolfTrack3.0/discussions,
Chat channel: exists,No,0,,Discord link in documentation
Test cases: a large proportion of the issues related to handling failing cases.,Yes,2,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/UnitTesting/home_testing.py,Test suite is small
Evidence that the whole team is using the same tools: everyone can get to all tools and files,Yes,2,https://github.com/nehajaideep/WolfTrack3.0/issues?q=is%3Aissue+is%3Aclosed,Everyone is using same repo
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",Yes,2,https://github.com/nehajaideep/WolfTrack3.0#readme,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",Yes,2,Cannot test,
Evidence that the members of the team are working across multiple places in the code base,Yes,2,"Issues are closed by different team mates, hence everyone knows the codebase well.",
Short release cycles,Yes,2,Cannot test for short projects,
Is your software’s architecture and design modular?,no,0,No infrastructure found,
Does your software use an accepted coding standard or convention?,Yes,2,https://www.educative.io/answers/how-to-modularize-code-in-react,
"Does your software allow data to be imported and exported using open data formats? (e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones)",Yes,1,https://github.com/nehajaideep/WolfTrack3.0/tree/Group10StableBranch/Controller,
Does your software allow communications using open communications protocols?,Yes,2,https://github.com/nehajaideep/WolfTrack3.0/tree/Group10StableBranch/Controller,
Is your software cross-platform compatible?,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
Does your software adhere to appropriate accessibility conventions or standards?,Yes,2,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
Is your source code stored in a repository under revision control?,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
Is each source code release a snapshot of the repository?,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/tags,
Are releases tagged in the repository?,Yes,1,https://github.com/nehajaideep/WolfTrack3.0/tags,
Is there a branch of the repository that is always stable?,Yes,1,https://github.com/nehajaideep/WolfTrack3.0/tags,
Do you back-up your repository?,No,0,none found,There is a github repo for backup and local repos in developers PC.
Do you provide publicly-available instructions for building your software from the source code?,Yes,3,https://github.com/nehajaideep/WolfTrack3.0,
"Can you build, or package, your software using an automated tool?",Yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/requirements.txt,
Do you provide publicly-available instructions for deploying your software?,Yes,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/README.md,
